land_use,management,weight,rules_static,rules_dynamic,operation,op_data1,op_data2,op_data3
agrl2_lum,,,,"(md >= 0827) * (md <= 0906) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,corn,grain,0
agrl2_lum,,,,,kill_only,corn,null,0
agrl2_lum,,,,"(md >= 0310) * (md <= 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == (year(prev_op) + 1))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0327) * (md <= 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0410) * (md <= 0420) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0426) * (md <= 0506) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,fldcult,null,0
agrl2_lum,,,,"(md >= 0427) * (md <= 0507) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,cots,null,0
agrl2_lum,,,,"(md >= 0428) * (md <= 0508) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,elem_n,broadcast,150
agrl2_lum,,,,,fertilizer,elem_p,broadcast,30
agrl2_lum,,,,"(md >= 1027) * (md <= 1106) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,cots,cotton_strip,0
agrl2_lum,,,,,kill_only,cots,null,0
agrl2_lum,,,,"(md >= 0310) * (md <= 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == (year(prev_op) + 1))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0327) * (md <= 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0410) * (md <= 0420) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0426) * (md <= 0506) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,fldcult,null,0
agrl2_lum,,,,"(md >= 0427) * (md <= 0507) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,cots,null,0
agrl2_lum,,,,"(md >= 0428) * (md <= 0508) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,elem_n,broadcast,150
agrl2_lum,,,,,fertilizer,elem_p,broadcast,30
agrl2_lum,,,,"(md >= 1027) * (md <= 1106) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,cots,cotton_strip,0
agrl2_lum,,,,,kill_only,cots,null,0
agrl2_lum,,,,"(md >= 0327) * (md <= 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == (year(prev_op) + 1))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0410) * (md <= 0420) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl2_lum,,,,"(md >= 0426) * (md <= 0506) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,fldcult,null,0
agrl2_lum,,,,"(md >= 0427) * (md <= 0507) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,pnut,null,0
agrl2_lum,,,,"(md >= 0926) * (md <= 1006) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,pnut,peanuts,0
agrl2_lum,,,,,kill_only,pnut,null,0
agrl3_lum,,,,,initial_plant,rota_comm,,
agrl3_lum,,,,"(md >= 0310) * (md <= 0320) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == (year(prev_op) + 1))",tillage,riprsubs,null,0
agrl3_lum,,,,"(md >= 0327) * (md <= 0406) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl3_lum,,,,"(md >= 0410) * (md <= 0420) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,riprsubs,null,0
agrl3_lum,,,,"(md >= 0426) * (md <= 0506) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",tillage,fldcult,null,0
agrl3_lum,,,,"(md >= 0427) * (md <= 0507) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",plant,cots,null,0
agrl3_lum,,,,"(md >= 0428) * (md <= 0508) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,elem_n,broadcast,150
agrl3_lum,,,,,fertilizer,elem_p,broadcast,30
agrl3_lum,,,,"(md >= 1027) * (md <= 1106) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,cots,cotton_strip,0
agrl3_lum,,,,,kill_only,cots,null,0
